"","spp","sp_code","Division","Family","Genus","Consv_stat","Native_stat","Coastal","Ha_pres","Ma_pres","Ka_pres","Oa_pres","Mo_pres","La_pres","Ke_pres","Ni_pres","Cover_D","Cover_1","Cover_2","Cover_3","CCE_Area","Vulnerability","Tolerate","Migrate","Micro_refugia","Eff_Mrf_A","Eff_Tol_A","Eff_Mig_A","Habqual_Mrg","Habqual_Tol","Habqual_Mig","Dispersion","Quality_avg","Area_avg","nonNat_comp","Pioneer","Winkout","Overlap_sp","Dist_Ces","p_tol_pts","n_fce_bioreg","Overlap_Ces","change_CE_A","Prox_to_top","Tot_A_MR","Tot_A_TL","Tot_A_MG","new_lava_MR","new_lava_TL","new_lava_MG","Hi_mod_A_MR","Hi_mod_A_TL","Hi_mod_A_MG","SLR_A_lost in_MR","Natvcov_MR","Natvcov_TL","Natvcov_MG","prot_A_MR","prot_A_TL","prot_A_MG","Ung_A_MR","Ung_A_TL","Ung_A_MG","Inv_MR","Inv_TL","Inv_MG","Frag_MR","Frag_TL","Frag_MG","ppt_grad_MR","Slope_MR","Asp_var_MR","SlopeVar_MR"
"44","Asplenium excisum",44,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Wet_mesic_forest","Perennial_grassland",1060.5528,0.366481712081177,"Large","Large","Medium","Medium","Large","Small","Small","Large","Very_large","Large","Large","Medium","No","No","No","Yes","Small","none","Many","Large","Medium_decrease","Far","Medium","Large","Small","Small","Small","Small","Medium","Medium","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Large","Large","Small","Small","Small","Large","Medium","Small","Medium","Medium","Medium","Medium"
"45","Asplenium haleakalense",45,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Mesic_forest","Wet_mesic_forest",9.0225,0.523991447288118,"Very_small","Small","Small","Very_small","Very_small","Very_small","Very_large","Very_small","Large","Very_small","Medium","Very_small","No","No","No","No","Large","none","Few","Small","Large_decrease","Close","Very_small","Very_small","Very_small","Small","none","Small","Small","none","Small","Small","Large","none","Large","Large","none","Large","Large","none","Large","Medium","Small","Medium","Small","none","Small","High","Medium","Small","Small"
"46","Asplenium hobdyi",46,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Endemic","Non_coastal",1,1,1,0,1,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",232.1802,0.392685237842356,"Medium","Small","Medium","Medium","Small","Very_small","Large","Very_large","Large","Small","Large","Small","No","No","No","Yes","Large","none","Many","Small","Large_decrease","Close","Medium","Small","Very_small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Large","Large","Large","Large","Medium","Medium","Medium","Small","Small","Small","High","Medium","Medium","Medium"
"47","Asplenium horridum",47,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Wet_mesic_forest","Perennial_grassland",4160.0196,0.238155141848651,"Large","Very_large","Large","Very_large","Very_large","Very_large","Very_small","Medium","Very_large","Very_large","Medium","Very_large","Yes","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Medium","Medium","Medium","Large","Large","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Medium","Small","Medium","Large","Medium","Small","Medium","Medium","Medium","Medium"
"48","Asplenium insiticium",48,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",803.8386,0.315268359095527,"Large","Large","Large","Medium","Medium","Medium","Large","Very_large","Very_large","Large","Large","Medium","No","No","No","Yes","Medium","none","Many","Large","Medium_decrease","Far","Medium","Large","Medium","Large","Large","Medium","Medium","Small","Small","Small","Large","Large","Large","Large","Large","Large","Small","Medium","Large","Small","Small","Small","Medium","Small","Small","Medium","Medium","Small","Large"
"49","Asplenium kaulfussii",49,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Wet_mesic_forest","Perennial_grassland",3819.4875,0.246964860832866,"Large","Very_large","Large","Very_large","Very_large","Very_large","Very_small","Medium","Very_large","Very_large","Medium","Very_large","Yes","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Medium","Medium","Medium","Large","Large","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Medium","Medium","Medium","Large","Medium","Small","Medium","Medium","Medium","Medium"
"50","Asplenium lobulatum",50,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Mesic_forest","Perennial_grassland",6573.5505,0.235468485893187,"Very_large","Very_large","Large","Very_large","Very_large","Very_large","Small","Medium","Large","Very_large","Medium","Very_large","No","No","No","Yes","Small","Medium","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Medium","Large","Large","Large","Medium","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Large","Small","Small","Medium","Medium","Medium","Medium"
"51","Asplenium macraei",51,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Mesic_forest","Perennial_grassland",3827.4183,0.264164520053283,"Very_large","Very_large","Medium","Large","Very_large","Very_large","Small","Large","Large","Large","Large","Very_large","No","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Close","Large","Very_large","Very_large","Medium","Large","Large","Large","Medium","Small","Small","Small","Medium","Large","Small","Medium","Large","Medium","Large","Large","Medium","Medium","Large","Medium","Small","Small","Medium","Medium","Medium","Medium"
"52","Asplenium monanthes",52,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Indigenous","Non_coastal",1,1,0,0,0,0,0,0,"na","Wet_forest","Mesic_forest","Perennial_grassland",1688.6277,0.286877129462944,"Large","Large","Large","Large","Large","Large","Large","Large","Medium","Large","Large","Large","No","No","No","Yes","Medium","Medium","Many","Large","Medium_decrease","Far","Large","Large","Large","Large","Large","Large","Medium","Small","Small","Small","Medium","Large","Medium","Medium","Medium","Medium","Large","Large","Large","Medium","Large","Large","Small","Small","Medium","Medium","Low","Small","Medium"
"53","Asplenium nidus",53,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_mesic_forest","Wet_forest","Perennial_grassland",5934.9654,0.276308297007762,"Large","Very_large","Large","Very_large","Very_large","Very_large","Small","Small","Large","Very_large","Medium","Very_large","Yes","No","No","Yes","Small","Medium","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Large","Large","Large","Large","Large","Medium","Large","Small","Small","Small","Small","Small","Medium","Small","Small","Medium","Medium","Small","Medium","Large","Medium","Small","Medium","Low","Small","Large"
"54","Asplenium normale",54,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",2947.3083,0.290023928883107,"Large","Large","Large","Large","Large","Large","Medium","Very_large","Large","Large","Large","Large","No","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Close","Large","Large","Large","Medium","Medium","Large","Large","Medium","Small","Small","Medium","Large","Medium","Medium","Large","Large","Small","Large","Large","Small","Medium","Medium","Medium","Small","Small","High","Medium","Medium","Medium"
"55","Asplenium peruvianum",55,"Pteridophyte","Aspleniaceae","Asplenium","Endangered","Endemic","Non_coastal",1,1,0,0,0,0,0,0,"na","Dry_shrubland","Perennial_grassland","Mesic_forest",3331.6677,0.236270806119288,"Very_large","Very_large","Large","Large","Very_large","Very_large","Medium","Large","Large","Very_large","Large","Very_large","No","Yes","No","Yes","Small","Medium","Many","Large","Small_decr_or_inc","Far","Large","Large","Very_large","Large","Large","Large","Small","Small","Small","Small","Medium","Large","Large","Medium","Large","Large","Large","Large","Large","Large","Large","Large","Medium","Small","Medium","Low","Low","Small","Medium"
"56","Asplenium polyodon",56,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Mesic_forest","Perennial_grassland",5152.1823,0.229356822233436,"Very_large","Large","Large","Very_large","Very_large","Large","Medium","Very_large","Very_large","Medium","Large","Very_large","No","No","No","Yes","Small","Large","Many","Large","Medium_decrease","Close","Very_large","Very_large","Large","Large","Large","Large","Medium","Medium","Small","Small","Medium","Large","Large","Medium","Large","Large","Medium","Large","Large","Small","Medium","Medium","Medium","Small","Small","Medium","Medium","Medium","Large"
"57","Asplenium schizophyllum",57,"Pteridophyte","Aspleniaceae","Asplenium","Rare","Endemic","Non_coastal",1,1,1,0,0,0,0,0,"Wet_forest","Wet_forest","Perennial_grassland","Mesic_forest",1591.893,0.288354424206415,"Large","Large","Large","Large","Large","Medium","Medium","Large","Large","Large","Large","Large","No","No","No","Yes","Medium","Medium","Many","Medium","Medium_decrease","Far","Large","Large","Medium","Medium","Large","Large","Medium","Medium","Small","Small","Medium","Large","Large","Medium","Large","Large","Medium","Large","Large","Medium","Medium","Medium","Small","Small","Small","Medium","Medium","Small","Large"
"58","Asplenium sphenotomum",58,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Mesic_forest","Perennial_grassland",943.6068,0.32600311262428,"Large","Medium","Large","Large","Medium","Small","Large","Very_large","Large","Small","Large","Medium","No","No","No","Yes","Large","none","Many","Medium","Large_decrease","Close","Large","Medium","Small","Medium","Large","Large","Medium","Small","Small","Small","Large","Large","Large","Large","Large","Large","Large","Large","Large","Medium","Medium","Medium","Small","Small","Small","High","Low","Small","Large"
"59","Asplenium trichomanes",59,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Endemic","Non_coastal",1,1,0,0,0,0,0,0,"na","Perennial_grassland","Dry_shrubland","Mesic_forest",5346.3807,0.278125985544985,"Very_large","Large","Medium","Large","Very_large","Large","Small","Large","Large","Very_large","Medium","Very_large","No","Yes","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Large","Very_large","Large","Large","Large","Large","Large","Medium","Medium","Small","Small","Large","Large","Small","Large","Large","Small","Large","Large","Medium","Large","Large","Large","Medium","Small","Low","Low","Small","Medium"
"60","Asplenium unilaterale",60,"Pteridophyte","Aspleniaceae","Asplenium","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Perennial_grassland","Wet_mesic_forest",6798.5424,0.211980978004967,"Very_large","Very_large","Large","Very_large","Very_large","Very_large","Small","Large","Large","Very_large","Large","Very_large","No","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Medium","Large","Large","Large","Medium","Small","Small","Small","Medium","Large","Small","Large","Large","Small","Large","Large","Small","Medium","Large","Large","Small","Small","Medium","Medium","Medium","Medium"
"61","Astelia argyrocoma",61,"Monocot","Asteliaceae","Astelia","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"na","Wet_forest","Wet_mesic_forest","Decidious_shrubland",591.5376,0.409946040412212,"Medium","Large","Small","Medium","Medium","Medium","Small","Medium","Very_large","Medium","Medium","Medium","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Far","Medium","Medium","Medium","Small","Small","Small","Large","Small","Small","Small","Small","Large","Large","Small","Medium","Large","Small","Small","Large","Medium","Medium","Small","Large","Medium","Small","Medium","Medium","Medium","Medium"
"62","Astelia menziesiana",62,"Monocot","Asteliaceae","Astelia","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Mesic_forest","Perennial_grassland",6893.9973,0.238951265551443,"Very_large","Large","Large","Very_large","Very_large","Medium","Small","Very_large","Very_large","Very_large","Large","Very_large","No","Yes","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Medium","Medium","Large","Large","Large","Medium","Small","Small","Small","Large","Large","Small","Large","Large","Small","Large","Large","Small","Medium","Small","Large","Small","Small","Medium","Medium","Medium","Medium"
"63","Astelia waialealae",63,"Monocot","Asteliaceae","Astelia","Endangered","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Decidious_shrubland",49.5225,0.548878652310864,"Very_small","Very_small","Small","Very_small","Very_small","Very_small","Very_large","Very_small","Very_small","Very_small","Small","Very_small","No","No","Yes","No","Large","Small","Few","Small","Large_decrease","Close","Very_small","Very_small","Very_small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Small","Small","Large","Small","Small","Small","Small","Small","Small","Small","Small","High","Medium","Medium","Medium"
"64","Athyrium microphyllum",64,"Pteridophyte","Athyriaceae","Athyrium","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Mesic_forest","Wet_mesic_forest",4971.0744,0.266311785178572,"Very_large","Medium","Large","Very_large","Very_large","Very_small","Medium","Very_large","Large","Very_large","Large","Large","No","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_small","Medium","Large","Large","Large","Medium","Medium","Small","Medium","Large","Medium","Medium","Large","Large","Small","Large","Large","Small","Small","Medium","Large","Small","Small","Medium","Medium","Medium","Medium"
"65","Bacopa monnieri",65,"Dicot","Plantaginaceae","Bacopa","Apparently Secure","Indigenous","Coastal",1,1,1,1,1,1,0,1,"na","Decidious_shrubland","Perennial_grassland","Wet_mesic_forest",2595.7647,0.402005350048596,"Small","Large","Medium","Very_large","Small","Very_large","Very_small","Very_small","Small","Medium","Very_small","Large","Yes","No","No","Yes","Medium","none","Many","Small","Medium_decrease","Close","Very_large","Small","Very_large","Large","Medium","Medium","Large","Large","Large","Large","Small","Small","Small","Small","Small","Small","Small","Small","Small","Large","Medium","Medium","Large","Large","Large","Low","Low","Medium","Large"
"66","Bidens amplectens",66,"Dicot","Asteraceae","Bidens","Rare","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"na","Perennial_grassland","Decidious_shrubland","Dry_forest",162.0279,0.541381605039867,"Very_small","Small","Small","Small","Small","Small","Small","Very_small","Small","Small","Very_small","Small","Yes","No","No","Yes","Medium","Small","Few","Medium","Large_decrease","Far","Small","Small","Small","Small","Small","Small","Large","Large","Medium","Small","Small","Small","Small","Small","Small","Medium","Small","Small","Small","Medium","Medium","Large","Large","Large","Large","Low","Medium","Medium","Medium"
"67","Bidens asymmetrica",67,"Dicot","Asteraceae","Bidens","Apparently Secure","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"na","Wet_forest","Wet_mesic_forest","Mesic_forest",155.9034,0.520547208514726,"Small","Small","Small","Small","Very_small","Small","Small","Large","Medium","Very_small","Medium","Very_small","No","No","No","Yes","Large","none","Few","Small","Large_decrease","Close","Small","Very_small","Small","Small","Small","Small","Medium","Small","Small","Small","Small","Large","Large","Small","Small","Small","Small","Small","Small","Small","Small","Small","Large","Medium","Small","High","High","Large","Small"
"68","Bidens campylotheca",68,"Dicot","Asteraceae","Bidens","Rare","Endemic","Non_coastal",1,1,1,1,0,1,0,0,"na","Wet_forest","Wet_mesic_forest","Mesic_forest",3817.3239,0.312390984727824,"Large","Large","Medium","Large","Very_large","Large","Small","Medium","Large","Very_large","Medium","Very_large","No","No","No","Yes","Small","Medium","Many","Large","Small_decr_or_inc","Far","Large","Very_large","Large","Medium","Large","Large","Large","Medium","Small","Small","Small","Medium","Large","Small","Small","Large","Small","Large","Large","Medium","Medium","Large","Large","Medium","Medium","Medium","Medium","Medium","Medium"
